taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AF094612	AF094612	WestAfrica	788379	-	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AY572535	AY572535	WestAfrica	Gambia 2001	Gambia	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AY603338	AY603338	WestAfrica	Ivory Coast 1999	Cote d'Ivoire	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AY640589	AY640589	WestAfrica	ASIBI	-	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AY968064	AY968064	EastAfrica	Angola71	Angola	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/AY968065	AY968065	EastAfrica	Uganda48a	Uganda	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/DQ235229	DQ235229	EastAfrica	61b	Ethiopia	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912179	JF912179	SouthAmerica1	BeAR378600	Brazil	1980
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912180	JF912180	SouthAmerica1	BeH394880	Brazil	1981
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912181	JF912181	SouthAmerica2	BeH413820	Brazil	1983
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912182	JF912182	SouthAmerica1	BeH422973	Brazil	1984
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912183	JF912183	SouthAmerica1	BeH423602	Brazil	1984
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912184	JF912184	SouthAmerica1	BeH463676	Brazil	1987
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912185	JF912185	SouthAmerica1	BeAR513008	Brazil	1992
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912186	JF912186	SouthAmerica1	BeH526722	Brazil	1994
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912187	JF912187	SouthAmerica1	BeH622205	Brazil	2000
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912188	JF912188	-	BeH622493	Brazil	2000
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912189	JF912189	SouthAmerica1	BeAR646536	Brazil	2001
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JF912190	JF912190	SouthAmerica1	BeH655417	Brazil	2002
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JN620362	JN620362	EastAfrica	Uganda 2010	Uganda	2010
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898868	JX898868	WestAfrica	HD117294	Senegal	1995
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898869	JX898869	WestAfrica	DakArAmt7	Cote d'Ivoire	1973
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898870	JX898870	WestAfrica	ArD121040	Senegal	1996
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898871	JX898871	WestAfrica	ArD114896	Senegal	1995
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898872	JX898872	WestAfrica	ArD114972	Senegal	1995
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898873	JX898873	WestAfrica	ArD149214	Senegal	2000
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898874	JX898874	WestAfrica	ArD149194	Senegal	2000
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898875	JX898875	WestAfrica	ArD149815	Senegal	2000
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898876	JX898876	WestAfrica	ArD156468	Senegal	2001
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898877	JX898877	WestAfrica	ArD181464	Senegal	2005
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898878	JX898878	WestAfrica	ArD181250	Senegal	2005
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/JX898880	JX898880	WestAfrica	ArD181564	Senegal	2005
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/NC_002031	NC_002031	WestAfrica	17D vaccine strain	-	-
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/OR119828	OR119828	SouthAmerica1	Jimenez	Panama	1974
alignment/AL_UNC_YFV_ROOT/member/ncbi-refseqs/U54798	U54798	WestAfrica	85-82H Ivory Coast	-	-
