sequenceID	Genotype
AF052437	WestAfrica
AF052438	WestAfrica
AF052439	WestAfrica
AF052444	WestAfrica
AF052445	WestAfrica
AF052446	WestAfrica
CS805341	WestAfrica
DQ100292	WestAfrica
DQ118157	WestAfrica
FJ654700	WestAfrica
FU267585	WestAfrica
FV537409	-
FV537410	-
FV537411	-
FV537412	-
GQ379162	WestAfrica
GQ379163	WestAfrica
HM582851	SouthAmerica1
JA784072	WestAfrica
JA784073	WestAfrica
JA784080	WestAfrica
JA784081	WestAfrica
JA784082	WestAfrica
JA784083	WestAfrica
JA784086	WestAfrica
JB319320	WestAfrica
JB319321	WestAfrica
JB319328	WestAfrica
JB319329	WestAfrica
JB319330	WestAfrica
JB319331	WestAfrica
JB319334	WestAfrica
JN628279	WestAfrica
JN628280	WestAfrica
JN628281	WestAfrica
JN811140	WestAfrica
JN811141	WestAfrica
JN811142	WestAfrica
JN811143	WestAfrica
JX503529	WestAfrica
JX898879	WestAfrica
JX898881	WestAfrica
JX949181	WestAfrica
KF769015	WestAfrica
KF769016	WestAfrica
KF907504	SouthAmerica2
KM388814	SouthAmerica1
KM388815	SouthAmerica1
KM388816	SouthAmerica1
KM388817	SouthAmerica1
KM388818	SouthAmerica1
KU921608	EastAfrica
KU949599	EastAfrica
KU978763	WestAfrica
KU978764	WestAfrica
KU978765	WestAfrica
KX010994	EastAfrica
KX010995	EastAfrica
KX010996	EastAfrica
KX027336	EastAfrica
KX268355	EastAfrica
KX982182	EastAfrica
KY495641	EastAfrica
KY587416	EastAfrica
KY873606	EastAfrica
KY873607	EastAfrica
KY873608	EastAfrica
LP837229	WestAfrica
LP837643	WestAfrica
LP981866	WestAfrica
LQ460610	WestAfrica
LQ564352	WestAfrica
LY683279	WestAfrica
LY683293	WestAfrica
LY720078	WestAfrica
MA388208	WestAfrica
MF004382	SouthAmerica2
MF004383	EastAfrica
MF170968	SouthAmerica1
MF170969	SouthAmerica1
MF170970	SouthAmerica1
MF170971	SouthAmerica1
MF170972	SouthAmerica1
MF170973	SouthAmerica1
MF170974	SouthAmerica1
MF170975	SouthAmerica1
MF170976	SouthAmerica1
MF170977	SouthAmerica1
MF170978	SouthAmerica1
MF170979	SouthAmerica1
MF170980	SouthAmerica1
MF170981	SouthAmerica1
MF185660	SouthAmerica1
MF185661	SouthAmerica1
MF289572	WestAfrica
MF347613	SouthAmerica1
MF370530	SouthAmerica1
MF370533	SouthAmerica1
MF370535	SouthAmerica1
MF370542	SouthAmerica1
MF370547	SouthAmerica1
MF370549	SouthAmerica1
MF405338	WestAfrica
MF465805	SouthAmerica1
MF926243	WestAfrica
MG051217	WestAfrica
MG051218	WestAfrica
MG589641	EastAfrica
MG922934	WestAfrica
MH018064	SouthAmerica1
MH018065	SouthAmerica1
MH018066	SouthAmerica1
MH018067	SouthAmerica1
MH018068	SouthAmerica1
MH018069	SouthAmerica1
MH018070	SouthAmerica1
MH018071	SouthAmerica1
MH018072	SouthAmerica1
MH018073	SouthAmerica1
MH018074	SouthAmerica1
MH018075	SouthAmerica1
MH018076	SouthAmerica1
MH018077	SouthAmerica1
MH018078	SouthAmerica1
MH018079	SouthAmerica1
MH018080	SouthAmerica1
MH018081	SouthAmerica1
MH018082	SouthAmerica1
MH018083	SouthAmerica1
MH018084	SouthAmerica1
MH018085	SouthAmerica1
MH018086	SouthAmerica1
MH018087	SouthAmerica1
MH018088	SouthAmerica1
MH018089	SouthAmerica1
MH018090	SouthAmerica1
MH018091	SouthAmerica1
MH018092	SouthAmerica1
MH018093	SouthAmerica1
MH018094	SouthAmerica1
MH018095	SouthAmerica1
MH018096	SouthAmerica1
MH018097	SouthAmerica1
MH018098	SouthAmerica1
MH018099	SouthAmerica1
MH018100	SouthAmerica1
MH018101	SouthAmerica1
MH018102	SouthAmerica1
MH018103	SouthAmerica1
MH018104	SouthAmerica1
MH018105	SouthAmerica1
MH018106	SouthAmerica1
MH018107	SouthAmerica1
MH018108	SouthAmerica1
MH018109	SouthAmerica1
MH018110	SouthAmerica1
MH018111	SouthAmerica1
MH018112	SouthAmerica1
MH018113	SouthAmerica1
MH018114	SouthAmerica1
MH018115	SouthAmerica1
MH030049	SouthAmerica1
MH030050	SouthAmerica1
MH030051	SouthAmerica1
MH030052	SouthAmerica1
MH030053	SouthAmerica1
MH030054	SouthAmerica1
MH030055	SouthAmerica1
MH030056	SouthAmerica1
MH030057	SouthAmerica1
MH030058	SouthAmerica1
MH030059	SouthAmerica1
MH030060	SouthAmerica1
MH030061	SouthAmerica1
MH030062	SouthAmerica1
MH030063	SouthAmerica1
MH030064	SouthAmerica1
MH030065	SouthAmerica1
MH030066	SouthAmerica1
MH030067	SouthAmerica1
MH030068	SouthAmerica1
MH030069	SouthAmerica1
MH030070	SouthAmerica1
MH030071	SouthAmerica1
MH030072	SouthAmerica1
MH030073	SouthAmerica1
MH030074	SouthAmerica1
MH030075	SouthAmerica1
MH030076	SouthAmerica1
MH030077	SouthAmerica1
MH030078	SouthAmerica1
MH030079	SouthAmerica1
MH030080	SouthAmerica1
MH030081	SouthAmerica1
MH030082	SouthAmerica1
MH030083	SouthAmerica1
MH030084	SouthAmerica1
MH030085	SouthAmerica1
MH030086	SouthAmerica1
MH030087	SouthAmerica1
MH030088	SouthAmerica1
MH030089	SouthAmerica1
MH030090	SouthAmerica1
MH030091	SouthAmerica1
MH193173	SouthAmerica1
MH193174	SouthAmerica1
MH193175	SouthAmerica1
MH329655	SouthAmerica1
MH378284	SouthAmerica1
MH444794	WestAfrica
MH444795	WestAfrica
MH444796	WestAfrica
MH444797	WestAfrica
MH444798	WestAfrica
MH484423	SouthAmerica1
MH484424	SouthAmerica1
MH484425	SouthAmerica1
MH484426	SouthAmerica1
MH484427	SouthAmerica1
MH484428	SouthAmerica1
MH484429	SouthAmerica1
MH484430	SouthAmerica1
MH484431	SouthAmerica1
MH484432	SouthAmerica1
MH484433	SouthAmerica1
MH484434	SouthAmerica1
MH560359	SouthAmerica1
MH633684	EastAfrica
MH633685	EastAfrica
MH633686	EastAfrica
MH633687	EastAfrica
MH633688	EastAfrica
MH633689	EastAfrica
MH633690	EastAfrica
MH633691	EastAfrica
MH633692	EastAfrica
MH666056	SouthAmerica1
MH666057	SouthAmerica1
MH666058	SouthAmerica1
MH666059	SouthAmerica1
MH666060	SouthAmerica1
MK060080	WestAfrica
MK089775	SouthAmerica1
MK249065	SouthAmerica1
MK249066	SouthAmerica1
MK292067	WestAfrica
MK333805	SouthAmerica1
MK457700	WestAfrica
MK457701	WestAfrica
MK457703	WestAfrica
MK583147	SouthAmerica1
MK583148	SouthAmerica1
MK583149	SouthAmerica1
MK583150	SouthAmerica1
MK583151	SouthAmerica1
MK583152	SouthAmerica1
MK583153	SouthAmerica1
MK583154	SouthAmerica1
MK583155	SouthAmerica1
MK583156	SouthAmerica1
MK583157	SouthAmerica1
MK583158	SouthAmerica1
MK583159	SouthAmerica1
MK583160	SouthAmerica1
MK583161	SouthAmerica1
MK583162	SouthAmerica1
MK583163	SouthAmerica1
MK583164	SouthAmerica1
MK583165	SouthAmerica1
MK583166	SouthAmerica1
MK583167	SouthAmerica1
MK583168	SouthAmerica1
MK583169	SouthAmerica1
MK583171	SouthAmerica1
MK583172	SouthAmerica1
MK583173	SouthAmerica1
MK583174	SouthAmerica1
MK583175	SouthAmerica1
MK583176	SouthAmerica1
MK583177	SouthAmerica1
MK583178	SouthAmerica1
MK583179	SouthAmerica1
MK583180	SouthAmerica1
MK583181	SouthAmerica1
MK583182	SouthAmerica1
MK760660	SouthAmerica1
MK760661	SouthAmerica1
MK760662	SouthAmerica1
MK760663	SouthAmerica1
MK760664	SouthAmerica1
MK760665	SouthAmerica1
MK760666	SouthAmerica1
MK882599	SouthAmerica1
MK882600	SouthAmerica1
MK882601	SouthAmerica1
MK882602	SouthAmerica1
MK882603	SouthAmerica1
MK882604	SouthAmerica1
MK882605	SouthAmerica1
MK882606	SouthAmerica1
MK882607	SouthAmerica1
MK882608	SouthAmerica1
MK882609	SouthAmerica1
MK882610	SouthAmerica1
MK882611	SouthAmerica1
MK882612	SouthAmerica1
MK882613	SouthAmerica1
MK882614	SouthAmerica1
MK882615	SouthAmerica1
MK882616	SouthAmerica1
MK882617	SouthAmerica1
MK882618	SouthAmerica1
MK882619	SouthAmerica1
MK882620	WestAfrica
MK882621	SouthAmerica1
MN106241	WestAfrica
MN106242	WestAfrica
MN117917	SouthAmerica1
MN211301	WestAfrica
MN211302	WestAfrica
MN211303	WestAfrica
MN211304	WestAfrica
MN211305	WestAfrica
MN211306	WestAfrica
MN211307	WestAfrica
MN211308	WestAfrica
MN211309	WestAfrica
MN211310	WestAfrica
MN211311	WestAfrica
MN506274	SouthAmerica1
MN506281	SouthAmerica1
MN604280	SouthAmerica1
MN604281	SouthAmerica1
MN604282	SouthAmerica1
MN604283	SouthAmerica1
MN604284	SouthAmerica1
MN604285	SouthAmerica1
MN604286	SouthAmerica1
MN604287	SouthAmerica1
MN643083	SouthAmerica1
MN643085	SouthAmerica1
MN708488	WestAfrica
MN708489	WestAfrica
MN708490	WestAfrica
MN708491	WestAfrica
MN708492	WestAfrica
MN708493	WestAfrica
MN708494	WestAfrica
MN708495	WestAfrica
MN708496	WestAfrica
MN708497	WestAfrica
MN737509	WestAfrica
MN958078	WestAfrica
MT107250	WestAfrica
MT497520	SouthAmerica1
MT497521	SouthAmerica1
MT497522	SouthAmerica1
MT497523	SouthAmerica1
MT497524	SouthAmerica1
MT497525	SouthAmerica1
MT840700	WestAfrica
MT840701	WestAfrica
MT840702	WestAfrica
MT956628	WestAfrica
MT956629	WestAfrica
MT956630	WestAfrica
MW034590	SouthAmerica1
MW158338	-
MW158339	-
MW158340	-
MW158341	SouthAmerica1
MW158342	SouthAmerica1
MW158343	SouthAmerica1
MW158344	SouthAmerica1
MW158345	SouthAmerica1
MW158346	SouthAmerica1
MW158347	SouthAmerica1
MW158348	SouthAmerica1
MW158349	SouthAmerica1
MW158350	SouthAmerica1
MW158351	SouthAmerica1
MW158352	SouthAmerica1
MW158353	SouthAmerica1
MW158354	SouthAmerica1
MW158355	SouthAmerica1
MW158356	SouthAmerica1
