source.name	sequenceID	pubmed_id	length	genotype	isolate_data.country
ncbi-curated	AF052437	9712515	10862	WestAfrica	-
ncbi-curated	AF052438	9712515	10862	WestAfrica	-
ncbi-curated	AF052439	9712515	10862	WestAfrica	-
ncbi-curated	AF052444	9714237	10862	WestAfrica	-
ncbi-curated	AF052445	9714237	10862	WestAfrica	-
ncbi-curated	AF052446	9714237	10862	WestAfrica	-
ncbi-curated	CS805341	-	10862	WestAfrica	-
ncbi-curated	DQ100292	-	10862	WestAfrica	Brazil
ncbi-curated	DQ118157	16597510	10862	WestAfrica	Spain
ncbi-curated	FJ654700	-	10862	WestAfrica	China
ncbi-curated	FU267585	-	10862	WestAfrica	-
ncbi-curated	FV537409	-	10862	-	-
ncbi-curated	FV537410	-	10862	-	-
ncbi-curated	FV537411	-	10862	-	-
ncbi-curated	FV537412	-	10862	-	-
ncbi-curated	GQ379162	19679215	10862	WestAfrica	Peru
ncbi-curated	GQ379163	19679215	10862	WestAfrica	Peru
ncbi-curated	HM582851	20631128	10236	SouthAmerica1	Trinidad and Tobago
ncbi-curated	JA784072	-	6300	WestAfrica	-
ncbi-curated	JA784073	-	6300	WestAfrica	-
ncbi-curated	JA784080	-	10776	WestAfrica	-
ncbi-curated	JA784081	-	10788	WestAfrica	-
ncbi-curated	JA784082	-	10811	WestAfrica	-
ncbi-curated	JA784083	-	10785	WestAfrica	-
ncbi-curated	JA784086	-	10862	WestAfrica	-
ncbi-curated	JB319320	-	6300	WestAfrica	-
ncbi-curated	JB319321	-	6300	WestAfrica	-
ncbi-curated	JB319328	-	10776	WestAfrica	-
ncbi-curated	JB319329	-	10788	WestAfrica	-
ncbi-curated	JB319330	-	10811	WestAfrica	-
ncbi-curated	JB319331	-	10785	WestAfrica	-
ncbi-curated	JB319334	-	10862	WestAfrica	-
ncbi-curated	JN628279	22197965	10862	WestAfrica	-
ncbi-curated	JN628280	22197965	10862	WestAfrica	-
ncbi-curated	JN628281	22197965	10862	WestAfrica	-
ncbi-curated	JN811140	23602827	10862	WestAfrica	-
ncbi-curated	JN811141	23602827	10862	WestAfrica	-
ncbi-curated	JN811142	23602827	10862	WestAfrica	-
ncbi-curated	JN811143	23602827	10862	WestAfrica	-
ncbi-curated	JX503529	-	10811	WestAfrica	-
ncbi-curated	JX898879	23269797	10862	WestAfrica	Senegal
ncbi-curated	JX898881	23269797	10862	WestAfrica	Senegal
ncbi-curated	JX949181	-	10815	WestAfrica	USA
ncbi-curated	KF769015	24141982	10838	WestAfrica	-
ncbi-curated	KF769016	24141982	10833	WestAfrica	-
ncbi-curated	KF907504	25053561	10657	SouthAmerica2	Bolivia
ncbi-curated	KM388814	-	10236	SouthAmerica1	Venezuela: Portuguesa
ncbi-curated	KM388815	-	10236	SouthAmerica1	Venezuela: Apure
